De jure national sports,,,
,,,
SNo,Country,Sport,Year defined as
,,,national sport
1,Argentina,Pato,1953
2,Bahamas,Sloop sailing,1993
3,"Bangladesh (""national game"")",Kabaddi,1972
4,Brazil,Capoeira,1972
5,Canada,"Lacrosse (summer), Ice hockey (winter)",1994
6,hile,Chilean rodeo,1962
7,Colombia,Tejo,2000
8,Iran,"Varzesh-e Bastani, Wrestling",1976
9,Mexico,Charrería,1933
10,Philippines,Arnis,2009
11,"Puerto Rico (""autochthonous sport"")",Paso Fino,1966
12,Sri Lanka,Volleyball,1991
13,Nepal,Dandi Biyo,1973
14,Uruguay,Destrezas Criollas,2006
,,(Creole [i.e. gaucho] Skills),
,,,
De facto national sports,,,
,,,
SNo,Country,Sport,
1,Afghanistan,Buzkashi,
2,Anguilla,Yacht racing,
3,Antigua and Barbuda,Cricket,
4,Barbados,Cricket,
5,Bermuda,Cricket,
6,Bhutan,Archery,
7,Cuba,Baseball,
8,Dominican Republic,Baseball,
9,England,Cricket,
10,Finland,Pesäpallo,
11,Grenada,Cricket,
12,Guyana,Cricket,
13,India,Field hockey,
14,Israel,Association football,
15,"Ireland (""national games"")",Gaelic games,
16,Jamaica,Cricket,
17,Japan,Sumo,
18,Latvia,"Basketball (summer), Ice hockey (winter)",
,,,
,,Novuss,
19,Lithuania,Basketball,
20,Madagascar,Rugby union,
21,Mongolia,"Archery, Mongolian wrestling, Horse racing",
22,New Zealand,Rugby union,
23,Norway,Cross-country skiing,
24,Pakistan,Field Hockey,
25,Papua New Guinea,Rugby league,
26,Peru,Paleta Frontón,
27,Romania,Oin?,
28,Russia,Bandy,
29,Scotland,Golf,
30,Slovenia,Alpine skiing,
31,"Turkey (""ancestral sports"")",Wrestling & Cirit,
32,Turks and Caicos Islands,Cricket,
33,United States,Baseball,
34,Wales,Rugby union,
,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,
,,,
Original source : en.wikipedia.org/wiki/National_sport,,,
