country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Albania,Europe,2002,75.651,3508512,4604.211737
Albania,Europe,2007,76.423,3600523,5937.029526
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Argentina,Americas,2002,74.34,38331121,8797.640716
Argentina,Americas,2007,75.32,40301927,12779.37964
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2007,81.235,20434176,34435.36744
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2007,79.829,8199783,36126.4927
Bahrain,Asia,2002,74.795,656397,23403.55927
Bahrain,Asia,2007,75.635,708573,29796.04834
Bangladesh,Asia,2002,62.013,135656790,1136.39043
Bangladesh,Asia,2007,64.062,150448339,1391.253792
Belgium,Europe,2002,78.32,10311970,30485.88375
Belgium,Europe,2007,79.441,10392226,33692.60508
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Bolivia,Americas,2002,63.883,8445134,3413.26269
Bolivia,Americas,2007,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Bulgaria,Europe,2007,73.005,7322858,10680.79282
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burkina Faso,Africa,2007,52.295,14326203,1217.032994
Burundi,Africa,2002,47.36,7021078,446.4035126
Burundi,Africa,2007,49.58,8390505,430.0706916
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
Cameroon,Africa,2002,49.856,15929988,1934.011449
Cameroon,Africa,2007,50.43,17696293,2042.09524
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
Central African Republic,Africa,2002,43.308,4048013,738.6906068
Central African Republic,Africa,2007,44.741,4369038,706.016537
Chad,Africa,2002,50.525,8835739,1156.18186
Chad,Africa,2007,50.651,10238807,1704.063724
Chile,Americas,2002,77.86,15497046,10778.78385
Chile,Americas,2007,78.553,16284741,13171.63885
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
Colombia,Americas,2002,71.682,41008227,5755.259962
Colombia,Americas,2007,72.889,44227550,7006.580419
Comoros,Africa,2002,62.974,614382,1075.811558
Comoros,Africa,2007,65.152,710960,986.1478792
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798
Costa Rica,Americas,2002,78.123,3834934,7723.447195
Costa Rica,Americas,2007,78.782,4133884,9645.06142
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112
Croatia,Europe,2002,74.876,4481020,11628.38895
Croatia,Europe,2007,75.748,4493312,14619.22272
Cuba,Americas,2002,77.158,11226999,6340.646683
Cuba,Americas,2007,78.273,11416987,8948.102923
Czech Republic,Europe,2002,75.51,10256295,17596.21022
Czech Republic,Europe,2007,76.486,10228744,22833.30851
Denmark,Europe,2002,77.18,5374693,32166.50006
Denmark,Europe,2007,78.332,5468120,35278.41874
Djibouti,Africa,2002,53.373,447416,1908.260867
Djibouti,Africa,2007,54.791,496374,2082.481567
Dominican Republic,Americas,2002,70.847,8650322,4563.808154
Dominican Republic,Americas,2007,72.235,9319622,6025.374752
Ecuador,Americas,2002,74.173,12921234,5773.044512
Ecuador,Americas,2007,74.994,13755680,6873.262326
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
El Salvador,Americas,2002,70.734,6353681,5351.568666
El Salvador,Americas,2007,71.878,6939688,5728.353514
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959
Equatorial Guinea,Africa,2007,51.579,551201,12154.08975
Eritrea,Africa,2002,55.24,4414865,765.3500015
Eritrea,Africa,2007,58.04,4906585,641.3695236
Ethiopia,Africa,2002,50.725,67946797,530.0535319
Ethiopia,Africa,2007,52.947,76511887,690.8055759
Finland,Europe,2002,78.37,5193039,28204.59057
Finland,Europe,2007,79.313,5238460,33207.0844
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2007,80.657,61083916,30470.0167
Gabon,Africa,2002,56.761,1299304,12521.71392
Gabon,Africa,2007,56.735,1454867,13206.48452
Gambia,Africa,2002,58.041,1457766,660.5855997
Gambia,Africa,2007,59.448,1688359,752.7497265
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2007,79.406,82400996,32170.37442
Ghana,Africa,2002,58.453,20550751,1111.984578
Ghana,Africa,2007,60.022,22873338,1327.60891
Greece,Europe,2002,78.256,10603863,22514.2548
Greece,Europe,2007,79.483,10706290,27538.41188
Guatemala,Americas,2002,68.978,11178650,4858.347495
Guatemala,Americas,2007,70.259,12572928,5186.050003
Guinea,Africa,2002,53.676,8807818,945.5835837
Guinea,Africa,2007,56.007,9947814,942.6542111
Guinea-Bissau,Africa,2002,45.504,1332459,575.7047176
Guinea-Bissau,Africa,2007,46.388,1472041,579.231743
Haiti,Americas,2002,58.137,7607651,1270.364932
Haiti,Americas,2007,60.916,8502814,1201.637154
Honduras,Americas,2002,68.565,6677328,3099.72866
Honduras,Americas,2007,70.198,7483763,3548.330846
"Hong Kong, China",Asia,2002,81.495,6762476,30209.01516
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867
Hungary,Europe,2002,72.59,10083313,14843.93556
Hungary,Europe,2007,73.338,9956108,18008.94444
Iceland,Europe,2002,80.5,288030,31163.20196
Iceland,Europe,2007,81.757,301931,36180.78919
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Indonesia,Asia,2002,68.588,211060000,2873.91287
Indonesia,Asia,2007,70.65,223547000,3540.651564
Iran,Asia,2002,69.451,66907826,9240.761975
Iran,Asia,2007,70.964,69453570,11605.71449
Iraq,Asia,2002,57.046,24001816,4390.717312
Iraq,Asia,2007,59.545,27499638,4471.061906
Ireland,Europe,2002,77.783,3879155,34077.04939
Ireland,Europe,2007,78.885,4109086,40675.99635
Israel,Asia,2002,79.696,6029529,21905.59514
Israel,Asia,2007,80.745,6426679,25523.2771
Italy,Europe,2002,80.24,57926999,27968.09817
Italy,Europe,2007,80.546,58147733,28569.7197
Jamaica,Americas,2002,72.047,2664659,6994.774861
Jamaica,Americas,2007,72.567,2780132,7320.880262
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Jordan,Asia,2002,71.263,5307470,3844.917194
Jordan,Asia,2007,72.535,6053193,4519.461171
Kenya,Africa,2002,50.992,31386842,1287.514732
Kenya,Africa,2007,54.11,35610177,1463.249282
"Korea, Dem. Rep.",Asia,2002,66.662,22215365,1646.758151
"Korea, Dem. Rep.",Asia,2007,67.297,23301725,1593.06548
"Korea, Rep.",Asia,2002,77.045,47969150,19233.98818
"Korea, Rep.",Asia,2007,78.623,49044790,23348.13973
Kuwait,Asia,2002,76.904,2111561,35110.10566
Kuwait,Asia,2007,77.588,2505559,47306.98978
Lebanon,Asia,2002,71.028,3677780,9313.93883
Lebanon,Asia,2007,71.993,3921278,10461.05868
Lesotho,Africa,2002,44.593,2046772,1275.184575
Lesotho,Africa,2007,42.592,2012649,1569.331442
Liberia,Africa,2002,43.753,2814651,531.4823679
Liberia,Africa,2007,45.678,3193942,414.5073415
Libya,Africa,2002,72.737,5368585,9534.677467
Libya,Africa,2007,73.952,6036914,12057.49928
Madagascar,Africa,2002,57.286,16473477,894.6370822
Madagascar,Africa,2007,59.443,19167654,1044.770126
Malawi,Africa,2002,45.009,11824495,665.4231186
Malawi,Africa,2007,48.303,13327079,759.3499101
Malaysia,Asia,2002,73.044,22662365,10206.97794
Malaysia,Asia,2007,74.241,24821286,12451.6558
Mali,Africa,2002,51.818,10580176,951.4097518
Mali,Africa,2007,54.467,12031795,1042.581557
Mauritania,Africa,2002,62.247,2828858,1579.019543
Mauritania,Africa,2007,64.164,3270065,1803.151496
Mauritius,Africa,2002,71.954,1200206,9021.815894
Mauritius,Africa,2007,72.801,1250882,10956.99112
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
Mongolia,Asia,2002,65.033,2674234,2140.739323
Mongolia,Asia,2007,66.803,2874127,3095.772271
Montenegro,Europe,2002,73.981,720230,6557.194282
Montenegro,Europe,2007,74.543,684736,9253.896111
Morocco,Africa,2002,69.615,31167783,3258.495584
Morocco,Africa,2007,71.164,33757175,3820.17523
Mozambique,Africa,2002,44.026,18473780,633.6179466
Mozambique,Africa,2007,42.082,19951656,823.6856205
Myanmar,Asia,2002,59.908,45598081,611
Myanmar,Asia,2007,62.069,47761980,944
Namibia,Africa,2002,51.479,1972153,4072.324751
Namibia,Africa,2007,52.906,2055080,4811.060429
Nepal,Asia,2002,61.34,25873917,1057.206311
Nepal,Asia,2007,63.785,28901790,1091.359778
Netherlands,Europe,2002,78.53,16122830,33724.75778
Netherlands,Europe,2007,79.762,16570613,36797.93332
New Zealand,Oceania,2002,79.11,3908037,23189.80135
New Zealand,Oceania,2007,80.204,4115771,25185.00911
Nicaragua,Americas,2002,70.836,5146848,2474.548819
Nicaragua,Americas,2007,72.899,5675356,2749.320965
Niger,Africa,2002,54.496,11140655,601.0745012
Niger,Africa,2007,56.867,12894865,619.6768924
Nigeria,Africa,2002,46.608,119901274,1615.286395
